road,way_id,seq,lat,lon,average_green
Highfield Gardens,28610508,1,51.577493,-3.055517,0.262319
Caerphilly Close,28610537,1,51.579147,-3.065473,0.1971105
Oaklands Park Drive,28610546,1,51.578512,-3.064642,0.0843375
Cwm Cwddy Drive,28610556,1,51.57852,-3.065017,0.0832385
Pen y Groes Grove,28610560,1,51.575183,-3.062202,0.1138965
Pant Glas Court,28610566,1,51.575279,-3.059991,0.1641775
Cwm Dylan Close,28610572,1,51.575249,-3.062708,0.3707975
Neuadda Close,28610575,1,51.575411,-3.061689,0.3896645
Sunnybank,28610576,1,51.575395,-3.061033,0.194932
Pensidan View,28610579,1,51.576416,-3.059079,0.2278795
Ty Coch Close,28610587,1,51.576685,-3.058945,0.2121165
Bryn Hedydd,28610590,1,51.577458,-3.064704,0.173396
Parkwood Drive,28610594,1,51.576429,-3.064124,0.2508425
Fairoak Grove,28610607,1,51.57702,-3.059209,0.200067
Ruperra Close,28610620,1,51.57872,-3.047207,0.061178
Park View Gardens,28610644,1,51.577997,-3.040511,0.2296775
Park View Gardens,28610645,1,51.578565,-3.040872,0.3892395
The Uplands,28611152,1,51.594135,-3.058473,0.16119
Ifor Hael Road,28611160,1,51.592349,-3.057374,0.243397
St John's Crescent,28611218,1,51.594314,-3.060873,0.159281
Tregwilym Road,28611270,1,51.584991,-3.054046,0.1650705
Chartist Drive,28611282,1,51.585324,-3.053621,0.4722105
Chartist Drive,28611301,1,51.58573,-3.052503,0.2278905
Meadowlands Drive,29178867,1,51.596523,-3.07725,0.412522
Meadowlands Drive,29178891,1,51.596968,-3.076937,0.120903
Camellia Avenue,29178923,1,51.595883,-3.073713,0.1213905
Bluebell Way,29178932,1,51.595942,-3.072119,0.454479
Delphinium Road,29178937,1,51.598715,-3.073146,0.1114535
Jasmine Close,29178938,1,51.597726,-3.073039,0.000112
Jasmine Close,29178939,1,51.597924,-3.072657,0.221444
Burberry Close,29178943,1,51.598347,-3.07369,0.23547
Gerbera Drive,29178948,1,51.596827,-3.073879,0.103115
Daffodil Lane,29178964,1,51.59747,-3.074486,0.1372945
Daffodil Lane,29178998,1,51.596917,-3.076032,0.1987415
Cowshed Lane,29616173,1,51.576324,-3.053454,0.1413405
Caerphilly Road,29616584,1,51.577119,-3.049926,0.3976465
Caerphilly Road,29616974,1,51.577481,-3.044685,0.160317
Park View,29618116,1,51.577769,-3.041407,0.219254
Gaer Road,29621678,1,51.573366,-3.01145,0.1749585
Melfort Road,29622458,1,51.579757,-3.009634,0.0876455
Maesglas Road,29624634,1,51.567443,-3.007334,0.084464
Watch House Parade,29625399,1,51.570241,-2.990619,0.2787735
Mendalgief Road,29625458,1,51.570231,-2.9908,0.000112
Stephenson Street,29625546,1,51.571099,-2.987586,0.013196
Watch House Parade,29625868,1,51.571209,-2.988116,0.000112
